Ramal;Arrecadado;Grupo;Endereço;Numero
401412;58.450,81;4;R.. Dom Diogo de Souza, 100, Cristo Redentor, 91350-000;100
402044;206,87;4;R.. Alberto Silva, 63, Cristo Redentor, 91370-000;63
404780;1.041,21;4;R.. Adao Baino, 542, Cristo Redentor, 91350-240;542
406970;1.763,02;4;Av.. Dr Joao Simplicio a de Carvalho, 874, Passo da Areia, 91360-;874
407640;1.548,57;4;R.. Sape, 621, Vila Ipiranga, 91350-050;621
410560;2.603,84;4;R.. Eng Walter Boehl, 80, Vila Ipiranga, 91360-090;80
417130;4.668,88;4;Av.. Assis Brasil, 4033, Vila Ipiranga, 91110-001;4033
417785;5.128,68;4;Av.. Mathilde Trein Renner, 201, Vila Ipiranga, 91370-050;201
438910;1.003,08;4;R.. Vitorio Francisco Giordani, 220, Jardim itu, 91220-490;220
442356;3.865,14;4;R.. Ten ary Tarrago, 3305, Passo das Pedra, 91225-002;3305
456756;137,73;4;Av.. Saturnino de Brito, 1102, Vila Jardim, 91320-000;1102
456764;184,36;4;Av.. Saturnino de Brito, 1090, Vila Jardim, 91320-000;1090
463140;1.451,09;4;Av.. Saturnino de Brito, 1621, Vila Jardim, 91320-001;1621
468045;285,10;4;Av.. Saturnino de Brito, 1209, Vila Jardim, 91320-000;1209
477850;643,93;4;Av.. Alberto Pasqualini, 644, Jardim Sabara, 91215-000;644
483796;203,73;4;R.. Eduardo Antonio dos Santos, 1170, Costa e Silva, 91150-100;1170
488593;2.852,78;4;Av.. Baltazar de Oliveira Garcia, 1928, Costa e Silva, 91150-000;1928
502553;60,06;4;R.. Manoel Ferrador, 618, Passo das Pedra, 91230-370;618
511471;48.296,40;4;Av.. Martim Felix Berta, 475, Jar Leopoldina, 91250-235;475
511609;205,53;4;Av.. Juscelino Kubitschek de Oliveira, 1156, Jar Leopoldina, 91240-;1156
514438;477,51;4;R.. Luiz Caetano Antinolfi, 222, Passo das Pedra, 91230-480;222
514845;940,12;4;Av.. Manoel Elias, 574, Jar Leopoldina, 91240-260;574
527092;281,19;5;Av.. Bernardino Silveira Pastoriza, 631, Sta Rosa Lima, 91160-310;631
538922;1.945,60;5;R.. Didia Jardim Pinto, 21, Sta Rosa Lima, 91160-330;21
539392;8.585,06;5;R.. Didia Jardim Pinto, 31, Sta Rosa Lima, 91160-330;31
568430;423,40;5;R.. Carmelita Grippi, 260, Rubem Berta, 91170-070;260
568805;729,73;5;Av.. Major Manoel Jose Monteiro, 345, Rubem Berta, 91170-570;345
570915;411,82;5;R.. Ivo Nicolau Antinolfi, 149, Rubem Berta, 91170-110;149
596175;1.044,38;5;Av.. Baltazar de Oliveira Garcia, 4687, Rubem Berta, 91180-001;4687
609226;30,02;5;Av.. Protasio Alves, 8600, Morro Santana, 91260-000;8600
615137;282,77;5;R.. Seis de Novembro, 584, Mario Quintana, 91270-320;584
628891;429,12;5;Av.. Protasio Alves, 7445, Morro Santana, 91310-003;7445
637009;102,66;5;R.. Espir Rivaldo, 51, Morro Santana, 91450-270;51
650773;1.332,08;6;R.. Sete de Setembro, 615, Centro Historic, 90010-190;615
653314;2.097,90;6;Pca.. Quinze de Novembro, 19, Centro Historic, 90020-080;19
653403;1.061,16;6;Pca.. Quinze de Novembro, 19, Centro Historic, 90020-080;19
653942;358,02;6;Pca.. Pereira Parobe, 74, Centro Historic, 90030-170;74
659037;2.588,59;6;R.. Voluntarios da Patria, 513, Centro Historic, 90030-003;513
659118;41.112,26;6;R.. Cel Vicente, 431, Centro Historic, 90030-041;431
659142;22.627,52;6;R.. Cel Vicente, 425, Centro Historic, 90030-041;425
660523;313,81;6;R.. Dr Flores, 227, Centro Historic, 90020-122;227
663620;452,44;6;R.. Gen Vitorino, 334, Centro Historic, 90020-170;334
666050;1.971,61;6;R.. dos Andradas, 1085, Centro Historic, 90020-015;1085
667609;3.620,22;6;R.. Riachuelo, 1263, Centro Historic, 90010-271;1263
671401;938,61;6;R.. Duque de Caxias, 1540, Centro Historic, 90010-281;1540
678155;2.152,88;6;R.. Gen Cypriano Ferreira, 443, Centro Historic, 90010-330;443
681903;350,57;6;R.. Demetrio Ribeiro, 628, Centro Historic, 90010-312;628
682071;210,72;6;R.. Gen Auto, 220, Centro Historic, 90010-380;220
686379;753,22;6;R.. Demetrio Ribeiro, 1061, Centro Historic, 90010-311;1061
687707;246,55;6;R.. Duque de Caxias, 1659, Centro Historic, 90010-283;1659
689238;217,10;6;R.. Cel Genuino, 203, Centro Historic, 90010-350;203
690279;726,40;6;R.. Jose do Patrocinio, 51, Centro Historic, 90050-001;51
693707;250,34;6;Av.. Cristovao Colombo, 213, Independencia, 90560-003;213
693723;181,23;6;Av.. Cristovao Colombo, 219, Independencia, 90560-003;219
703613;1.899,98;6;R.. Ramiro Barcelos, 1074, Moinhos Vento, 90035-002;1074
705160;1.470,53;6;R.. Dinarte Ribeiro, 171, Moinhos Vento, 90570-050;171
705187;2.344,17;6;R.. Padre Chagas, 342, Moinhos Vento, 90570-080;342
710792;60,63;8;R.. Cel Bordini, 255, Moinhos Vento, 90440-000;255
