Ramal;Arrecadado;Grupo;Endereço;Numero
2537109;153,99;6;R.. Chaves Barcelos, 189, Centro Historic, 90030-120;189
2548100;179,66;5;Av.. Dr Alberto Vianna Rosa, 184, Morro Santana, 91450-210;184
2555115;1.847,82;6;R.. Chaves Barcelos, 181, Centro Historic, 90030-120;181
2576520;709,37;9;R.. Vinte de Setembro, 11, Azenha, 90130-090;11
2581493;248,50;16;Av.. Edgar Pires de Castro, 10548, Sao Caetano, 91784-000;10548
2581639;216,25;16;Av.. Edgar Pires de Castro, 10428, Lageado, 91798-600;10428
2584093;375,56;14;R.. Enio Aveline da Rocha, 234, Cavalhada, 91751-310;234
2597055;130,46;4;Av.. Sertorio, 10174, Costa e Silva, 91130-720;10174
2599678;134,48;4;Av.. Baltazar de Oliveira Garcia, 2015, Passo das Pedra, 91150-001;2015
2613212;172,97;6;Av.. Otavio Rocha, 51, Centro Historic, 90020-151;51
2613387;509,52;7;R.. Dr Otavio Santos, 661, Jardim Sabara, 91210-001;661
2627710;60,63;1;R.. Augusto Severo, 183, Sao Joao, 90240-480;183
2632888;133,85;15;Estr.. Cristiano Kraemer, 1440, Campo Novo, 91750-060;1440
2635356;500,65;16;Av.. Edgar Pires de Castro, 9415, Lageado, 91785-209;9415
2643596;76,99;8;R.. Regente, 35, Petropolis, 90470-170;35
2656779;69,78;5;R.. Egidio Piccoli, 223, Mario Quintana, 91263-200;223
2692090;2.129,81;4;Av.. Baltazar de Oliveira Garcia, 225, Jardim itu, 91130-001;225
2708213;554,55;13;R.. Cachoeira, 455, Nonoai, 90830-520;455
2714566;175,05;14;Av.. da Cavalhada, 3805, Cavalhada, 91740-001;3805
2736144;271,00;15;Estr.. Joao Antonio Silveira, 2987, Restinga, 91791-099;2987
2738279;357,13;13;R.. Mata Coelho, 137, Nonoai, 90830-060;137
2748495;494,29;16;Bc.. L av do Lami, 533, Boa Vista do su, 91780-128;533
2758636;288,70;14;R.. Dr Pereira Neto, 726, Tristeza, 91920-530;726
2764393;4.138,56;15;Av.. Edgar Pires de Castro, 1286, Hipica, 91788-000;1286
2767252;7.963,41;14;R.. Enio Aveline da Rocha, 134, Cavalhada, 91751-310;134
2774259;265,81;13;R.. Cel Massot, 1064, Cristal, 91910-530;1064
2777827;12.537,20;16;Estr.. do Varejao, 3733, Lami, 91787-170;3733
2793822;1.320,29;9;R.. Gen Lima e Silva, 275, Cidade Baixa, 90050-101;275
2794373;980,69;4;R.. Dona Adda Mascarenhas de Moraes, 347, Jardim itu, 91220-;347
2803062;206,50;4;R.. Dona Adda Mascarenhas de Moraes, 50, Jardim itu, 91220-140;50
2805480;432,03;3;R.. da Varzea, 207, Jar sao Pedro, 91040-600;207
2841185;30,08;5;R.. Roberto Brinco, 39, Morro Santana, 91450-410;39
2856662;795,38;7;Av.. Saturnino de Brito, 284, Vila Jardim, 91320-000;284
2862514;702,51;1;R.. Simao Kappel, 262, Humaita, 90240-210;262
2880113;1.372,99;5;Av.. Martim Felix Berta, 2965, Mario Quintana, 91270-650;2965
2927047;31,74;8;Av.. Ipiranga, 4660, Jardim Botanico, 90610-000;4660
2943719;3.109,54;1;Av.. Farrapos, 305, Floresta, 90220-004;305
2957973;5.800,94;1;Av.. Sao Paulo, 670, Sao Geraldo, 90230-160;670
2980410;13.994,54;6;R.. Jeronimo Coelho, 277, Centro Historic, 90010-241;277
3012263;76,99;1;Av.. Madrid, 277, Navegantes, 90240-560;277
3042413;219,52;5;R.. Leopoldina de Oliveira, 109, Sta Rosa Lima, 91175-110;109
3047881;615,82;6;R.. Fernandes Vieira, 609, Bom fim, 90035-091;609
3075621;163,66;1;R.. Alvaro Chaves, 292, Floresta, 90220-040;292
3080820;554,78;10;R.. Barao do Amazonas, 1618, Partenon, 90670-002;1618
3090817;514,98;10;Estr.. Joao de Oliveira Remiao, 712, Lomba Pinheiro, 91550-000;712
3099776;205,56;11;Pca.. Francisco Alves, 62, Vl Joao Pessoa, 91520-070;62
3171558;1.202,84;1;R.. Padre Diogo Feijo, 554, Humaita, 90240-421;554
3171833;1.352,00;15;R.. Jose Alves de Castro, 130, Vila Nova, 91750-090;130
3176053;328,50;10;R.. Machado de Assis, 33, Partenon, 90620-260;33
3179044;538,80;15;R.. Mexico, 327, Belem Velho, 91787-247;327
3191915;30,08;13;Av.. Nonoai, 216, Nonoai, 91720-000;216
3191931;30,08;13;Av.. Nonoai, 216, Nonoai, 91720-000;216
3193225;966,97;9;Av.. Joao Pessoa, 325, Cidade Baixa, 90040-000;325
3197638;14.927,78;1;R.. dos Pescadores, 1809, Arquipelago, 90090-180;1809
3245373;410,78;9;R.. Dr Voltaire Pires, 1023, Santo Antonio, 90640-160;1023
3264220;133,58;7;R.. Sao Felipe, 145, Bom Jesus, 91420-280;145
3275442;2.008,38;6;R.. dos Andradas, 717, Centro Historic, 90020-003;717
3276570;513,38;15;Av.. Edgar Pires de Castro, 1325, Hipica, 91787-235;1325
3281876;454,23;15;R.. Luiz Otavio, 779, Belem Velho, 91787-330;779
3319911;166,02;15;Estr.. Afonso Lourenco Mariante, 4501, Lomba Pinheiro, 91550-;4501
3325679;1.000,23;13;R.. Dr Barcelos, 2675, Cavalhada, 91910-251;2675
3325962;1.428,60;5;Av.. Baltazar de Oliveira Garcia, 5030, Rubem Berta, 91180-000;5030
3333930;468,40;7;Av.. Protasio Alves, 6131, Bom Jesus, 91310-003;6131
3339327;367,17;5;Av.. Martim Felix Berta, 370, Rubem Berta, 91250-200;370
3345360;125,44;12;Ac.. A Vila do Barracao, 72, Santa Tereza, 90843-020;72
3349306;1.127,59;10;Estr.. Joao de Oliveira Remiao, 5683, Lomba Pinheiro, 91560-000;5683
3362787;521,44;7;R.. Dr Affonso Sanmartin, 119, Jardim do Salso, 91410-100;119
3393879;116,59;5;R.. Salcedo, 60, Costa e Silva, 91180-790;60
3406164;2.253,11;1;R.. Santos Dumont, 631, Floresta, 90230-241;631
3412725;90,71;4;Av.. Baltazar de Oliveira Garcia, 2365, Passo das Pedra, 91150-001;2365
3428567;536,67;5;Av.. Vila Santissima Trindade, 483, Sta Rosa Lima, 91160-800;483
3442713;30,08;14;Av.. da Serraria, 1202, Guaruja, 91770-010;1202
3443582;30,02;5;Av.. Bernardino Silveira de Amorim, 2121, Sta Rosa Lima, 91160-;2121
3458946;98,71;1;R.. Morretes, 283, Santa m Goretti, 91030-300;283
3470342;1.371,49;10;R.. Santa Catarina Estr Joao de o Remiao, 30, Lomba Pinheiro,;30
3475077;1.433,84;10;Estr.. Joao de Oliveira Remiao, 1788, Lomba Pinheiro, 91550-000;1788
3501469;490,43;10;Estr.. Joao de Oliveira Remiao, 2797, Lomba Pinheiro, 91550-000;2797
3523136;500,02;9;R.. Jose de Alencar, 1792, Azenha, 90880-480;1792
3525384;795,14;13;Av.. Otto Niemeyer, 3251, Cavalhada, 91740-188;3251
3533158;785,82;9;Trav.. Ouvidor, 210, Santo Antonio, 90650-050;210
3535185;1.218,85;4;R.. Ten ary Tarrago, 1594, Jardim itu, 91225-001;1594
3538087;128,59;13;R.. Cel Timoteo, 72, Cristal, 91910-680;72
3538699;20.149,07;12;R.. Cruzeiro do sul, 2471, Santa Tereza, 90840-000;2471
3550508;163,66;1;R.. Voluntarios da Patria, 901, Floresta, 90230-011;901
3567222;2.339,31;15;Estr.. Joao Antonio Silveira, 1450, Restinga, 91790-512;1450
3578607;1.987,69;6;R.. dos Andradas, 891, Centro Historic, 90020-005;891
3591530;626,46;2;Av.. Francisco Silveira Bitencourt, 1550, Sarandi, 91150-010;1550
3607615;1.255,94;13;R.. Afonso Arinos, 134, Camaqua, 91910-350;134
3672859;2.507,65;14;Pca.. Senador Alberto Pasqualini, 240, Ipanema, 91760-051;240
3694836;30,02;1;R.. Voluntarios da Patria, 1073, Floresta, 90230-011;1073
3707881;2.194,56;10;R.. Albion, 588, Partenon, 91530-010;588
3708748;66,88;15;Estr.. Joao Antonio Silveira, 2641, Restinga, 91790-117;2641
3718670;369,08;14;Av.. da Serraria, 543, Espirito Santo, 91770-010;543
3725537;713,65;1;Av.. Sertorio, 91, Navegantes, 91020-001;91
3738671;1.953,39;7;Av.. Protasio Alves, 4207, Bom Jesus, 91310-002;4207
3739589;357,79;1;R.. Souza Reis, 414, Sao Joao, 90240-650;414
3743314;368,84;2;R.. Sylvio Sanson, 823, Sarandi, 91130-330;823
3765709;121,43;5;R.. Ministro ruy Rosado de Aguiar Junior, 146, Mario Quintana,;146
3765768;96,70;5;R.. Irmao Antonio Cecchin, 636, Mario Quintana, 91253-092;636
3765806;164,29;5;R.. Frederico Eduardo Sobbé, 209, Mario Quintana, 91253-094;209
3768783;183,44;5;R.. Emidio Perondi, 100, Mario Quintana, 91253-110;100
3769038;133,58;5;R.. Ministro ruy Rosado de Aguiar Junior, 182, Mario Quintana,;182
3769860;691,49;6;R.. Voluntarios da Patria, 70, Centro Historic, 90030-000;70
3811794;579,53;15;R.. Dr Antonio Mazzaferro Neto, 439, Hipica, 91787-196;439
3820572;245,48;16;R.. Onze Estr Otaviano Jose Pinto, 821, Lami, 91787-575;821
3820769;51,32;9;R.. Caldre e Fiao, 248, Santo Antonio, 90660-110;248
3827208;30,02;5;R.. Irmao Antonio Cecchin, 601, Mario Quintana, 91253-092;601
3837734;555,47;6;R.. Fernando Gomes, 140, Moinhos Vento, 90510-010;140
3842614;273,66;5;R.. dos Maias, 1642, Sta Rosa Lima, 91170-200;1642
1597;4.378,43;1;R.. Dr Salomao Pires Abrahao, 145, Arquipelago, 90090-060;145
20060;364,96;1;R.. Ernesto Capelli, 61, Farrapos, 90250-732;61
28894;619,96;1;R.. Jose Baldi, 21, Farrapos, 90245-310;21
30090;8.554,13;1;Av.. A j Renner, 1667, Humaita, 90250-000;1667
32883;1.280,30;1;R.. Frederico Mentz, 490, Farrapos, 90240-110;490
37656;389,09;1;R.. Joao Moreira Maciel, 8330, 90250-680;8330
38121;5.804,49;1;R.. Frederico Mentz, 1050, Navegantes, 90240-110;1050
38849;6.950,74;1;Trav.. Venezuela, 249, Humaita, 90240-220;249
50296;6.642,36;1;R.. Voluntarios da Patria, 2252, Floresta, 90230-010;2252
52973;1.175,74;1;Av.. Presidente Franklin Roosevelt, 347, Navegantes, 90230-000;347
53155;860,85;1;Av.. Presidente Franklin Roosevelt, 382, Navegantes, 90230-001;382
53694;789,16;1;R.. Cairu, 416, Navegantes, 90230-030;416
53740;740,21;1;R.. Cairu, 372, Navegantes, 90230-030;372
53775;7.761,81;1;R.. Cairu, 352, Navegantes, 90230-030;352
68497;1.052,69;1;R.. Conselheiro Travassos, 318, Sao Geraldo, 90230-140;318
68500;18.496,46;1;R.. Conselheiro Travassos, 306, Sao Geraldo, 90230-140;306
73865;3.148,55;1;Av.. Brasil, 503, Sao Geraldo, 90230-061;503
76899;337,61;1;Av.. Sao Pedro, 515, Sao Geraldo, 90230-120;515
80616;1.176,05;1;Av.. Brasil, 1088, Navegantes, 90230-060;1088
86525;0,00;1;Av.. Polonia, 822, Sao Geraldo, 90230-110;822
87688;1.404,85;1;Av.. Benjamin Constant, 1093, Sao Geraldo, 90550-004;1093
93734;1.525,92;1;Av.. Bahia, 1113, Sao Geraldo, 90240-552;1113
95176;1.068,50;1;Av.. Farrapos, 2285, Sao Geraldo, 90220-006;2285
95664;3.702,16;1;Av.. Viena, 42, Sao Geraldo, 90240-020;42
96059;188,32;1;Av.. Amazonas, 1300, Sao Geraldo, 90240-542;1300
98655;1.095,88;1;Av.. Benjamin Constant, 1809, Floresta, 90550-005;1809
103365;1.360,21;1;R.. Hoffmann, 266, Floresta, 90220-170;266
105082;2.154,50;1;R.. Gaspar Martins, 120, Floresta, 90220-160;120
107212;722,33;1;R.. Conde de Porto Alegre, 472, Floresta, 90220-210;472
108340;276,69;1;Av.. Cristovao Colombo, 1754, Floresta, 90560-001;1754
111414;881,25;1;R.. Cancio Gomes, 703, Floresta, 90220-060;703
114391;1.055,48;1;Av.. Cristovao Colombo, 992, Floresta, 90560-001;992
116335;760,28;1;R.. Ernesto Alves, 127, Floresta, 90220-190;127
116793;967,12;1;R.. Comendador Coruja, 189, Floresta, 90220-180;189
117447;358,68;1;R.. Ramiro Barcelos, 185, Floresta, 90035-004;185
117951;1.390,82;1;R.. da Conceicao, 414, Floresta, 90030-030;414
119784;1.671,86;1;Av.. Farrapos, 481, Floresta, 90220-004;481
122556;275,05;1;R.. Ramiro Barcelos, 451, Floresta, 90035-004;451
122564;543,74;1;R.. Ramiro Barcelos, 457, Floresta, 90035-004;457
125814;5.117,37;1;Av.. Benjamin Constant, 367, Sao Joao, 90550-003;367
128805;392,23;1;R.. Sao Salvador, 43, Santa m Goretti, 91030-240;43
139939;305,14;2;Av.. Jaime Vignoli, 8, Anchieta, 90200-110;8
153494;30,08;2;R.. da Varzea, 366, Jar sao Pedro, 91040-600;366
153931;646,08;2;Av.. Polar, 354, Jardim Floresta, 91040-550;354
174238;1.127,23;2;R.. Joao Moraes, 7, Sarandi, 91120-540;7
181161;857,35;2;R.. Vinte Cinco de Outubro, 115, Sarandi, 91140-500;115
186376;12.042,78;2;Av.. Faria Lobato, 535, Sarandi, 91110-460;535
210595;13.354,77;2;R.. Senhor do bom fim, 669, Sarandi, 91140-380;669
216690;893,25;2;Av.. Francisco Silveira Bitencourt, 1520, Sarandi, 91150-010;1520
228397;1.772,76;2;Av.. Bernardino Silveira Pastoriza, 550, Sta Rosa Lima, 91160-310;550
240176;5.333,62;2;Av.. Assis Brasil, 5926, Sarandi, 91110-000;5926
240648;217,41;2;R.. Vicente Ferreira Gomes, 20, Sarandi, 91110-420;20
243248;785,55;2;Av.. Sarandi, 10, Sarandi, 91130-450;10
245496;2.482,04;2;Av.. Salvador Leao, 925, Sarandi, 91130-700;925
250813;4.284,26;2;R.. Dona Alzira, 952, Sao Sebastiao, 91110-010;952
251003;269,42;2;R.. Dona Alzira, 660, Sao Sebastiao, 91110-010;660
259969;3.443,62;2;R.. Zeferino Dias, 265, Sarandi, 91130-480;265
270687;1.645,57;3;Av.. Joao Xxiii, 415, Sao Sebastiao, 91060-100;415
284513;766,01;3;Av.. Mena Barreto, 360, Santa m Goretti, 91030-470;360
285781;519,13;3;Av.. Assis Brasil, 1190, Santa m Goretti, 91010-001;1190
287083;465,78;3;R.. Barao de Tramandai, 158, Passo da Areia, 91030-380;158
289370;310,22;3;Av.. Assis Brasil, 1782, Passo da Areia, 91010-001;1782
304182;6.350,99;3;R.. Fontoura Xavier, 356, Cristo Redentor, 91040-370;356
319546;405,32;3;Av.. Assis Chateaubriand, 256, Sao Sebastiao, 91060-440;256
324426;1.020,74;3;Av.. Panamericana, 877, Jardim Lindoia, 91050-001;877
332488;1.359,14;3;Av.. Bogota, 345, Sao Sebastiao, 91060-000;345
363294;750,90;3;Av.. dos Industriarios, 625, Passo da Areia, 90520-400;625
372978;321,18;3;Av.. Assis Brasil, 1827, Passo da Areia, 91010-005;1827
378550;298,73;3;R.. Luzitana, 1353, Higienopolis, 90520-080;1353
381578;920,49;3;R.. Itapeva, 528, Passo da Areia, 91350-080;528
381802;94,13;3;Av.. Joao Wallig, 469, Passo da Areia, 91340-000;469
385247;642,69;3;R.. Atanasio Belmonte, 377, Boa Vista, 90520-550;377
400530;868,35;4;R.. Fernando Cortez, 60, Cristo Redentor, 91350-270;60
402818;850,41;4;Av.. Assis Brasil, 3941, Vila Ipiranga, 91010-007;3941
403822;2.143,09;4;R.. Mali, 188, Vila Ipiranga, 91370-230;188
407593;791,00;4;R.. Sape, 565, Vila Ipiranga, 91350-050;565
414972;361,96;4;R.. Gomes de Freitas, 230, Jardim itu, 91380-000;230
416037;368,31;4;R.. Felisberto Pereira, 449, Jardim itu, 91380-440;449
420930;848,99;4;Av.. do Forte, 796, Vila Ipiranga, 91360-000;796
420948;139,77;4;Av.. do Forte, 782, Vila Ipiranga, 91360-000;782
429805;3.869,35;4;Av.. Benno Mentz, 1008, Vila Ipiranga, 91370-020;1008
441775;446,85;4;Av.. Alexandre Luiz, 190, Jardim itu, 91225-090;190
447587;543,54;4;R.. Ten ary Tarrago, 2170, Jardim itu, 91225-001;2170
455113;2.029,71;4;Av.. dos Prazeres, 348, Vila Jardim, 91320-150;348
464015;5.573,00;4;Av.. Saturnino de Brito, 1543, Vila Jardim, 91320-001;1543
466735;1.490,00;4;R.. Cruz e Souza, 100, Jardim Sabara, 91215-100;100
468088;791,04;4;Av.. Saturnino de Brito, 1247, Vila Jardim, 91320-000;1247
479543;515,80;4;R.. Ten ary Tarrago, 1310, Jardim Sabara, 91225-001;1310
481564;3.029,84;4;R.. Frederico Kniestedt, 847, Costa e Silva, 91150-090;847
503444;35,80;4;R.. Sotero dos Reis, 142, Passo das Pedra, 91230-450;142
511943;567,64;4;R.. Sebastiao Barreto, 119, Passo das Pedra, 91230-430;119
513881;2.314,51;4;R.. Sebastiao Barreto, 208, Passo das Pedra, 91230-430;208
519456;217,42;4;Av.. Martim Felix Berta, 541, Jar Leopoldina, 91250-235;541
520969;521,07;4;R.. Dr Vargas Neto, 1030, Mario Quintana, 91250-000;1030
527025;420,96;5;Av.. Bernardino Silveira Pastoriza, 561, Sta Rosa Lima, 91160-310;561
528170;1.643,18;5;Av.. Bernardino Silveira Pastoriza, 851, Sta Rosa Lima, 91160-310;851
542741;415,35;5;Av.. Donario Braga, 567, Sta Rosa Lima, 91160-360;567
546593;352,38;5;Av.. Bernardino Silveira de Amorim, 2950, Sta Rosa Lima, 91170-;2950
552054;813,69;5;Bc.. do Paulino, 43, Sta Rosa Lima, 91170-400;43
552127;1.041,39;5;Bc.. do Paulino, 125, Sta Rosa Lima, 91170-400;125
563803;1.316,90;5;R.. dos Maias, 1960, Rubem Berta, 91170-200;1960
575470;1.240,65;5;R.. Alberto Rangel, 524, Rubem Berta, 91180-840;524
575925;2.646,25;5;Av.. Joao Ferreira Jardim, 347, Rubem Berta, 91180-290;347
576816;891,94;5;R.. Antonio Francisco Lisboa, 40, Rubem Berta, 91180-040;40
586080;155,89;5;Av.. Martim Felix Berta, 1355, Mario Quintana, 91260-645;1355
616834;4.527,04;5;Av.. Martim Felix Berta, 2787, Mario Quintana, 91270-650;2787
625060;727,92;5;Av.. Delegado ely Correa Prado, 287, Mario Quintana, 91260-300;287
649880;684,41;6;R.. da Conceicao, 15, Centro Historic, 90030-030;15
650862;818,80;6;R.. Gen Joao Manoel, 191, Centro Historic, 90010-030;191
651648;127,85;6;Le.. Mercado Publico Central-Externo, 81, Centro Historic, 90020-;81
652261;430,88;6;Le.. Mercado Publico Central-Externo, 37, Centro Historic, 90020-;37
654248;1.312,95;6;R.. Voluntarios da Patria, 70, Centro Historic, 90030-000;70
654680;1.684,10;6;Pca.. Rui Barbosa, 149, Centro Historic, 90030-100;149
654973;355,46;6;R.. Voluntarios da Patria, 188, Centro Historic, 90030-000;188
655767;784,45;6;Av.. Julio de Castilhos, 453, Centro Historic, 90030-131;453
656070;1.250,73;6;R.. Cel Vicente, 150, Centro Historic, 90030-040;150
656747;145,58;6;R.. Vigario Jose Ignacio, 304, Centro Historic, 90020-110;304
656941;116,08;6;R.. Voluntarios da Patria, 147, Centro Historic, 90030-002;147
657263;2.411,76;6;R.. Dr Flores, 52, Centro Historic, 90020-120;52
664618;538,65;6;Av.. Senador Salgado Filho, 230, Centro Historic, 90010-220;230
667730;1.469,68;6;R.. Riachuelo, 1335, Centro Historic, 90010-271;1335
674257;373,47;6;R.. dos Andradas, 879, Centro Historic, 90020-005;879
682020;1.234,70;6;R.. Gen Auto, 250, Centro Historic, 90010-380;250
682462;96,04;6;R.. Demetrio Ribeiro, 846, Centro Historic, 90010-312;846
689777;141,26;6;R.. Gen Lima e Silva, 67, Centro Historic, 90050-101;67
690333;426,34;6;R.. Jose do Patrocinio, 83, Centro Historic, 90050-001;83
695084;696,56;6;R.. Santo Antonio, 254, Independencia, 90220-010;254
705756;302,09;6;R.. Padre Chagas, 220, Moinhos Vento, 90570-080;220
707040;69.942,24;6;R.. Padre Chagas, 25, Moinhos Vento, 90570-080;25
707678;475,67;8;Av.. Mercedes, 169, Moinhos Vento, 90560-060;169
710059;176,52;8;R.. Quintino Bocaiuva, 156, Moinhos Vento, 90440-050;156
713902;1.611,31;8;R.. Vinte Quatro de Outubro, 1344, Auxiliadora, 90510-001;1344
714704;420,62;8;R.. Marques do Pombal, 1111, Auxiliadora, 90540-001;1111
725455;4.171,60;6;R.. Dona Laura, 40, Rio Branco, 90430-090;40
726788;1.203,90;6;R.. Miguel Tostes, 457, Rio Branco, 90430-061;457
731986;813,89;6;Av.. Cel Lucas de Oliveira, 299, Mont Serrat, 90450-045;299
741000;3.694,34;6;R.. Gen Joao Telles, 528, Bom fim, 90035-120;528
746606;1.213,52;6;R.. Sao Manoel, 161, Rio Branco, 90430-172;161
747408;189,92;6;R.. Mariante, 855, Rio Branco, 90430-181;855
756903;4.383,84;7;R.. Eng Ildefonso Simoes Lopes, 45, Tres Figueiras, 91330-180;45
768928;352,00;7;Av.. Jose Gertum, 62, Chacara Pedras, 91330-450;62
782750;1.533,91;7;R.. Dr Rodrigues Alves, 23, Chacara Pedras, 91330-240;23
801429;396,74;7;R.. Guadalajara, 845, Jardim Sabara, 91215-290;845
803987;2.450,63;7;Bc.. do Franklin, 255, Jardim Sabara, 91210-060;255
808504;525,50;7;Av.. Protasio Alves, 4685, Bom Jesus, 91310-002;4685
814318;2.222,03;7;R.. Santa Izabel, 763, Bom Jesus, 91420-690;763
828750;205,74;7;R.. Sao Felipe, 310, Bom Jesus, 91420-280;310
839523;1.055,49;7;Av.. Protasio Alves, 5911, Bom Jesus, 91310-003;5911
840068;709,22;7;R.. Carumbe, 129, Bom Jesus, 91420-040;129
841099;431,29;7;R.. Bom Jesus, 667, 91420-030;667
841617;1.660,89;7;Av.. Protasio Alves, 6547, Jardim Carvalho, 91310-003;6547
848492;201,07;7;R.. Palmares do sul, 260, Jardim Carvalho, 91430-180;260
852007;1.364,87;7;Va.. Um Cefer Dois, 805, Jardim Carvalho, 91430-730;805
867098;307,01;7;R.. Antonio Candido Ferreira (bage), 53, Jardim Carvalho, 91430-;53
871060;1.706,02;7;Av.. Antonio Carvalho, 1451, Jardim Carvalho, 91430-001;1451
873209;1.945,61;7;Av.. Antonio Carvalho, 571, Jardim Carvalho, 91430-001;571
876100;1.228,64;7;Av.. Antonio Carvalho, 311, Jardim Carvalho, 91430-001;311
878855;5.780,10;7;Av.. Bento Goncalves, 6952, Agronomia, 91540-000;6952
886327;1.295,79;8;R.. Eudoro Berlink, 955, Mont Serrat, 90450-030;955
910635;943,87;8;R.. Felipe de Oliveira, 126, Santa Cecilia, 90630-000;126
911186;5.680,54;8;R.. Santa Cecilia, 1540, Santa Cecilia, 90630-190;1540
914827;174,33;8;R.. Regente, 261, Petropolis, 90470-170;261
935549;1.323,79;8;Av.. Protasio Alves, 3150, Petropolis, 90410-007;3150
942332;646,71;8;Av.. Cel Lucas de Oliveira, 2558, Petropolis, 90630-084;2558
951510;529,02;8;R.. Buenos Aires, 171, Jardim Botanico, 90670-130;171
952141;2.195,02;8;R.. Alcebiades Caetano da Silva, 48, Jardim Botanico, 90610-210;48
952613;567,03;8;R.. Barao do Amazonas, 1175, Jardim Botanico, 90670-004;1175
960055;1.459,16;8;R.. Felizardo Furtado, 348, Jardim Botanico, 90670-090;348
966568;299,98;8;R.. Valparaiso, 776, Jardim Botanico, 90690-300;776
971022;896,21;8;R.. Prof Freitas Cabral, 193, Jardim Botanico, 90690-130;193
985503;798,43;9;R.. Leopoldo Bier, 346, Santana, 90620-100;346
992151;155,87;8;R.. Vicente da Fontoura, 1591, Santana, 90640-003;1591
992178;627,50;8;R.. Vicente da Fontoura, 1619, Santana, 90640-003;1619
992984;1.262,25;8;R.. Sao Francisco, 936, Partenon, 90620-070;936
1003690;298,42;9;Av.. Joao Pessoa, 2434, Santana, 90040-001;2434
1008986;1.186,51;9;R.. da Republica, 174, Cidade Baixa, 90050-320;174
1012410;1.335,41;9;R.. Gen Lima e Silva, 601, Cidade Baixa, 90050-101;601
1013394;434,05;9;R.. Alberto Torres, 77, Cidade Baixa, 90050-080;77
1015044;1.198,56;9;R.. Jose do Patrocinio, 824, Cidade Baixa, 90050-002;824
1016172;285,40;9;Av.. Joao Pessoa, 1015, Cidade Baixa, 90040-000;1015
1019627;989,25;9;R.. Joao Alfredo, 688, Cidade Baixa, 90050-230;688
1023330;1.211,63;9;R.. Baroneza do Gravatai, 88, Cidade Baixa, 90160-070;88
1026372;1.922,61;9;R.. Jose do Patrocinio, 1197, Azenha, 90050-004;1197
1035720;164,13;9;Av.. Getulio Vargas, 374, Menino Deus, 90150-000;374
1041355;1.685,23;9;R.. Botafogo, 712, Menino Deus, 90150-050;712
1043170;594,64;9;R.. Mucio Teixeira, 1384, Menino Deus, 90150-090;1384
1062417;161,39;9;R.. Visconde do Herval, 1341, Azenha, 90130-151;1341
1079689;2.274,64;10;R.. Sao Manoel, 2412, Partenon, 90620-225;2412
1097318;4.033,88;9;R.. Delfino Riet, 183, Santo Antonio, 90660-120;183
1100734;2.486,19;9;R.. Antenor Lemos, 126, Menino Deus, 90850-100;126
1109715;498,81;9;Av.. Porto Alegre, 228, Azenha, 90880-130;228
1111345;281,14;9;R.. Saudavel, 40, Medianeira, 90880-140;40
1116215;1.621,59;9;Av.. Cel Gastao Haslocher Mazeron, 554, Medianeira, 90880-370;554
1119095;362,10;9;R.. Dr Dias da Cruz, 278, Medianeira, 90880-380;278
1120239;2.417,55;9;Av.. Niteroi, 580, Medianeira, 90880-270;580
1129910;669,35;10;R.. Barao do Amazonas, 1410, Partenon, 90670-002;1410
1140574;1.113,92;10;R.. Capitao Pedro Werlang, 58, Partenon, 91530-110;58
1140620;3.497,95;10;R.. Prof Guerreiro Lima, 377, Partenon, 91530-190;377
1147315;404,01;10;R.. Dr Pereira da Cunha, 13, Partenon, 91530-290;13
1147366;1.628,07;10;R.. Dr Pereira da Cunha, 57, Partenon, 91530-290;57
1147943;659,64;11;R.. Ten Alpoim, 192, Partenon, 91510-710;192
1149873;237,35;11;R.. Ten Alpoim, 698, Vl Joao Pessoa, 91510-710;698
1158651;567,12;11;Av.. Bento Goncalves, 4573, Vila sao Jose, 90650-003;4573
1158996;4.036,68;11;R.. Martins de Lima, 172, Vila sao Jose, 91520-000;172
1160850;1.474,07;11;R.. Saldanha da Gama, 796, Vila sao Jose, 91520-630;796
1170449;3.352,85;11;R.. Borborema, 736, Vila sao Jose, 91520-030;736
1171917;1.967,74;11;R.. Dona Firmina, 624, Vila sao Jose, 91520-210;624
1203126;1.363,39;10;Av.. Bento Goncalves, 6077, Partenon, 91540-000;6077
1207903;143,59;10;Av.. Bento Goncalves, 6765, Agronomia, 91540-000;6765
1212095;1.378,88;10;Bc.. do David, 218, Lomba Pinheiro, 91550-160;218
1215248;954,31;10;Av.. Bento Goncalves, 8843, Lomba Pinheiro, 91540-000;8843
1215990;2.019,01;10;Av.. Bento Goncalves, 9271, Lomba Pinheiro, 91540-000;9271
1239392;700,29;10;R.. Dolores Duran, 2126, Lomba Pinheiro, 91540-220;2126
1250914;5.845,59;10;Estr.. Joao de Oliveira Remiao, 4200, Lomba Pinheiro, 91560-000;4200
1250949;128,85;10;Estr.. Joao de Oliveira Remiao, 4160, Lomba Pinheiro, 91560-000;4160
1254154;792,46;10;Estr.. Joao de Oliveira Remiao, 6470, Lomba Pinheiro, 91560-000;6470
1259598;209,38;10;R.. Barao do Amazonas, 2110, Partenon, 90660-000;2110
1266179;235,18;11;R.. Paulino Azurenha, 340, Partenon, 90680-240;340
1273337;5.399,87;11;Av.. Prof Oscar Pereira, 2582, Gloria, 90660-080;2582
